pkSeqID,proto,saddr,sport,daddr,dport,seq,stddev,N_IN_Conn_P_SrcIP,min,state_number,mean,N_IN_Conn_P_DstIP,drate,srate,max,attack,category,subcategory
1650647,tcp,192.168.100.150,54442,192.168.100.3,80,338,4.80E-05,27,0,1,2.80E-05,100,0.271756,0.093656,0.000111,1,DDoS,HTTP
1650913,tcp,192.168.100.147,57376,192.168.100.3,80,634,1.80E-05,45,0,1,1.00E-05,100,0.252304,0.239545,4.20E-05,1,DDoS,HTTP
1650499,tcp,192.168.100.150,54312,192.168.100.3,80,254,4.40E-05,47,0,1,2.60E-05,100,0.273875,0.091864,0.000102,1,DDoS,HTTP
1650268,tcp,192.168.100.150,54124,192.168.100.3,80,27,1.613153,38,0,1,1.613153,40,0.619904,0.625056,3.226305,1,DDoS,HTTP
3576890,arp,192.168.100.1,-1,192.168.100.27,-1,15,0,2,0.000367,2,0.000367,1,0,0,0.000367,0,Normal,Normal
1650455,tcp,192.168.100.150,54262,192.168.100.3,80,229,0.981447,47,0,1,0.693988,100,0.420788,0.091845,2.081964,1,DDoS,HTTP
1650896,tcp,192.168.100.149,42084,192.168.100.3,80,619,0.011949,79,7.90E-05,1,0.012028,100,0.291683,0.583366,0.023977,1,DDoS,HTTP
3577342,udp,192.168.100.3,13875,205.251.197.206,53,3776,0,74,0.01041,2,0.01041,2,0,0,0.01041,0,Normal,Normal
1650873,tcp,192.168.100.149,42038,192.168.100.3,80,596,0.019444,79,8.00E-05,1,0.019524,100,0.291453,0.582906,0.038969,1,DDoS,HTTP
3577356,udp,192.168.100.3,56446,192.52.178.30,53,3807,0,74,0.167859,2,0.167859,1,0,0,0.167859,0,Normal,Normal
1651012,tcp,192.168.100.149,42190,192.168.100.3,80,760,0.012845,93,0,1,0.009083,100,0.591275,0.356661,0.027249,1,DDoS,HTTP
1650740,tcp,192.168.100.149,41868,192.168.100.3,80,488,0.923683,45,0,1,0.65319,100,0.249371,0.357404,1.959475,1,DDoS,HTTP
1650666,tcp,192.168.100.150,54456,192.168.100.3,80,345,4.80E-05,27,0,1,2.80E-05,100,0.271733,0.093662,0.000111,1,DDoS,HTTP
1650361,tcp,192.168.100.147,57054,192.168.100.3,80,152,0.803471,32,0,1,0.991287,100,0.271794,0.461336,1.96793,1,DDoS,HTTP
3577347,udp,192.168.100.3,52681,205.251.195.59,53,3784,0,74,0.283913,2,0.283913,2,0,0,0.283913,0,Normal,Normal
3577182,udp,192.168.100.150,40888,224.0.0.251,5353,4226,0,18,0,4,0,21,0,0,0,0,Normal,Normal
3576936,tcp,192.168.100.3,56312,52.35.35.13,443,6765,0.331883,20,0.15452,6,0.292655,1,0.210558,0.275345,1.105515,0,Normal,Normal
1650478,tcp,192.168.100.148,55498,192.168.100.3,80,364,2.266499,18,0,1,1.602657,100,0.304438,0.092687,4.807971,1,DDoS,HTTP
1650540,tcp,192.168.100.148,55538,192.168.100.3,80,384,0.354816,21,0,1,0.250893,100,0.517372,0.100237,0.752678,1,DDoS,HTTP
1651131,tcp,192.168.100.149,42428,192.168.100.3,80,879,0.908701,89,0,1,0.642593,100,0.248862,0.357589,1.92769,1,DDoS,HTTP
3577272,tcp,192.168.100.6,80,192.168.100.3,80,8,0.058922,1,4.448159,2,4.882988,4,0,6.897131,4.999998,0,Normal,Normal
1651021,tcp,192.168.100.149,42208,192.168.100.3,80,769,0.014862,93,0,1,0.010509,100,0.590674,0.356729,0.031528,1,DDoS,HTTP
3577047,udp,192.168.100.3,40757,192.41.162.30,53,4027,0,23,0.167138,2,0.167138,1,0,0,0.167138,0,Normal,Normal
1650362,tcp,192.168.100.148,55468,192.168.100.3,80,153,1.211636,1,0,1,0.605878,100,0.275841,0.128892,3.02915,1,DDoS,HTTP
3577005,ipv6-icmp,fe80::250:56ff:febe:254,133,ff02::2,0,1294,0,1,0,8,0,3,0,0,0,0,Normal,Normal
3577063,arp,192.168.100.149,-1,192.168.100.1,-1,5420,2.40E-05,12,3.20E-05,2,7.30E-05,12,0.003524,0.003524,9.10E-05,0,Normal,Normal
1651189,tcp,192.168.100.149,42526,192.168.100.3,80,930,0.8923,89,0.000287,1,0.892587,100,0.594968,0.732367,1.784887,1,DDoS,HTTP
1650816,tcp,192.168.100.149,41980,192.168.100.3,80,567,0.082319,79,1.018279,1,1.100598,100,0.298148,0.633633,1.182917,1,DDoS,HTTP
3576917,udp,192.168.100.148,52865,8.8.8.8,53,4241,0,12,0.00743,2,0.00743,10,0,0,0.00743,0,Normal,Normal
1650756,tcp,192.168.100.147,57350,192.168.100.3,80,504,4.20E-05,46,0,1,2.40E-05,100,0.249246,0.178478,9.60E-05,1,DDoS,HTTP
3577131,udp,192.168.100.147,40684,8.8.8.8,53,22462,0,18,0.008054,2,0.008054,19,0,0,0.008054,0,Normal,Normal
1650487,tcp,192.168.100.150,54288,192.168.100.3,80,242,5.80E-05,47,0,1,3.40E-05,100,0.274938,0.091855,0.000135,1,DDoS,HTTP
3577223,udp,192.168.100.27,58999,192.168.100.1,53,17094,0,4,0.180937,2,0.180937,10,0,0,0.180937,0,Normal,Normal
1650605,tcp,192.168.100.149,41794,192.168.100.3,80,316,0.006476,17,9.90E-05,1,0.006575,100,0.326959,0.653918,0.013051,1,DDoS,HTTP
